"","Year","Month","Day","Country","dengue_cases"
"642",2004,5,30,"Indonesia",82
"643",2004,5,30,"Mexico",71
"644",2004,5,30,"Philippines",56
"645",2004,5,30,"Singapore",164
"646",2004,5,30,"Venezuela",195
"647",2004,6,6,"Argentina",36
"648",2004,6,6,"Bolivia",39
"649",2004,6,6,"Brazil",32
"650",2004,6,6,"India",4
"651",2004,6,6,"Indonesia",84
"652",2004,6,6,"Mexico",6
"653",2004,6,6,"Philippines",54
"654",2004,6,6,"Singapore",137
"655",2004,6,6,"Venezuela",186
"656",2004,6,13,"Argentina",29
"657",2004,6,13,"Bolivia",28
"658",2004,6,13,"Brazil",24
"659",2004,6,13,"India",4
"660",2004,6,13,"Indonesia",76
"661",2004,6,13,"Mexico",73
"662",2004,6,13,"Philippines",58
"663",2004,6,13,"Singapore",132
"664",2004,6,13,"Venezuela",166
"665",2004,6,20,"Argentina",27
"666",2004,6,20,"Bolivia",24
"667",2004,6,20,"Brazil",22
"668",2004,6,20,"India",57
"669",2004,6,20,"Indonesia",104
"670",2004,6,20,"Mexico",5
"671",2004,6,20,"Philippines",63
"672",2004,6,20,"Singapore",128
"673",2004,6,20,"Venezuela",172
"674",2004,6,27,"Argentina",24
"675",2004,6,27,"Bolivia",15
"676",2004,6,27,"Brazil",32
"677",2004,6,27,"India",48
"678",2004,6,27,"Indonesia",91
"679",2004,6,27,"Mexico",59
"680",2004,6,27,"Philippines",89
"681",2004,6,27,"Singapore",145
"682",2004,6,27,"Venezuela",18
"683",2004,7,4,"Argentina",22
"684",2004,7,4,"Bolivia",15
"685",2004,7,4,"Brazil",17
"686",2004,7,4,"India",54
"687",2004,7,4,"Indonesia",68
"688",2004,7,4,"Mexico",67
"689",2004,7,4,"Philippines",92
"690",2004,7,4,"Singapore",134
"691",2004,7,4,"Venezuela",163
"692",2004,7,11,"Argentina",22
"693",2004,7,11,"Bolivia",15
"694",2004,7,11,"Brazil",28
"695",2004,7,11,"India",56
"696",2004,7,11,"Indonesia",111
"697",2004,7,11,"Mexico",57
"698",2004,7,11,"Philippines",95
"699",2004,7,11,"Singapore",154
"700",2004,7,11,"Venezuela",158
"701",2004,7,18,"Argentina",19
"702",2004,7,18,"Bolivia",21
"703",2004,7,18,"Brazil",1
"704",2004,7,18,"India",57
"705",2004,7,18,"Indonesia",66
"706",2004,7,18,"Mexico",69
"707",2004,7,18,"Philippines",114
"708",2004,7,18,"Singapore",16
"709",2004,7,18,"Venezuela",151
"710",2004,7,25,"Argentina",17
"711",2004,7,25,"Bolivia",26
"712",2004,7,25,"Brazil",17
"713",2004,7,25,"India",93
"714",2004,7,25,"Indonesia",87
"715",2004,7,25,"Mexico",104
"716",2004,7,25,"Philippines",112
"717",2004,7,25,"Singapore",194
"718",2004,7,25,"Venezuela",158
"719",2004,8,1,"Argentina",17
"720",2004,8,1,"Bolivia",25
"721",2004,8,1,"Brazil",26
"722",2004,8,1,"India",99
"723",2004,8,1,"Indonesia",77
"724",2004,8,1,"Mexico",128
"725",2004,8,1,"Philippines",107
"726",2004,8,1,"Singapore",188
"727",2004,8,1,"Venezuela",169
"728",2004,8,8,"Argentina",17
"729",2004,8,8,"Bolivia",29
"730",2004,8,8,"Brazil",13
"731",2004,8,8,"India",99
"732",2004,8,8,"Indonesia",75
"733",2004,8,8,"Mexico",178
"734",2004,8,8,"Philippines",99
"735",2004,8,8,"Singapore",205
"736",2004,8,8,"Venezuela",165
"737",2004,8,15,"Argentina",24
"738",2004,8,15,"Bolivia",2
"739",2004,8,15,"Brazil",18
"740",2004,8,15,"India",75
"741",2004,8,15,"Indonesia",78
"742",2004,8,15,"Mexico",129
"743",2004,8,15,"Philippines",96
"744",2004,8,15,"Singapore",193
"745",2004,8,15,"Venezuela",154
"746",2004,8,22,"Argentina",22
"747",2004,8,22,"Bolivia",17
"748",2004,8,22,"Brazil",2
"749",2004,8,22,"India",8
"750",2004,8,22,"Indonesia",106
"751",2004,8,22,"Mexico",131
"752",2004,8,22,"Philippines",9
"753",2004,8,22,"Singapore",178
"754",2004,8,22,"Venezuela",149
"755",2004,8,29,"Argentina",22
"756",2004,8,29,"Bolivia",18
"757",2004,8,29,"Brazil",19
"758",2004,8,29,"India",85
"759",2004,8,29,"Indonesia",83
